"AIRPORT_SEQ_ID","AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","LATITUDE","LONGITUDE",
1015501,10155,"ACT","Waco Regional","Waco, TX",31.61138889,-97.22861111,
1015502,10155,"ACT","Waco Regional","Waco, TX",31.61222222,-97.23027778,
1015601,10156,"ACU","Achutupo Airport","Achutupo, Panama",8.43333333,-77.96666667,
1015701,10157,"ACV","Arcata","Arcata/Eureka, CA",40.97916667,-124.10750000,
1015702,10157,"ACV","Arcata","Arcata/Eureka, CA",40.97805556,-124.10861111,
1015703,10157,"ACV","Arcata","Arcata/Eureka, CA",40.97777778,-124.10833333,
1015801,10158,"ACY","Nafec Atlantic City","Atlantic City, NJ",39.45611111,-74.57805556,
1015802,10158,"ACY","Nafec Atl","Atlantic City, NJ",39.45666667,-74.57777778,
1015803,10158,"ACY","Atlantic City International","Atlantic City, NJ",39.45750000,-74.57805556,
1015804,10158,"ACY","Atlantic City International","Atlantic City, NJ",39.45750000,-74.57722222,
1015901,10159,"ADA","Adana Sakirpasa","Adana, Turkey",36.98361111,35.28083333,
1015902,10159,"ADA","Adana International","Adana, Turkey",36.98222222,35.28027778,
1016001,10160,"ADB","Adnan Menderes","Izmir, Turkey",38.29472222,27.16000000,
1016002,10160,"ADB","Adnan Menderes","Izmir, Turkey",38.29222222,27.15583333,
1016101,10161,"ADC","Andakombe Airport","Andakombe, Papua New Guinea",-7.13611111,145.74416667,
1016102,10161,"ADC","Andakombe Airport","Andakombe, Papua New Guinea",-7.13638889,145.74388889,
1016201,10162,"ADD","Haile Selassie I International","Addis Ababa, Ethiopia",8.97805556,38.79944444,
1016202,10162,"ADD","Bole International","Addis Ababa, Ethiopia",8.97805556,38.79944444,
1016301,10163,"ADE","Aden International","Aden, South Yemen",12.82777778,45.03055556,
1016302,10163,"ADE","Aden International","Aden, Yemen",12.83444444,45.02888889,
1016303,10163,"ADE","Aden International","Aden, Yemen",12.82944444,45.02888889,
1016401,10164,"ADJ","King Abdullah Ben","Amman, Jordan",31.97222222,35.99000000,
1016402,10164,"ADJ","Marka International","Amman, Jordan",31.97222222,35.99000000,
1016403,10164,"ADJ","Marka International","Amman, Jordan",31.97277778,35.99166667,
1016501,10165,"ADK","Adak NS","Adak Island, AK",51.88277778,-176.64472222,
1016502,10165,"ADK","Adak","Adak Island, AK",51.87805556,-176.64611111,
1016503,10165,"ADK","Adak","Adak Island, AK",51.87805556,-176.64583333,
1016504,10165,"ADK","Adak","Adak Island, AK",51.88361111,-176.64250000,
1016601,10166,"ADL","Adelaide International","Adelaide, Australia",-34.94833333,138.53472222,
1016602,10166,"ADL","Adelaide International","Adelaide, Australia",-34.94500000,138.53055556,
1016701,10167,"ADM","Ardmore Municipal","Ardmore, OK",34.30305556,-97.01972222,
1016702,10167,"ADM","Ardmore Municipal","Ardmore, OK",34.30416667,-97.02055556,
